ds,yhat,yhat_lower,yhat_upper,RegionName
2002-03-31,138070.5130636184,136137.38609780086,140111.3237210021,Arizona
2002-04-30,138683.73909959104,136610.53775263316,140677.0992939337,Arizona
2002-05-31,139321.2976856433,137197.3325563631,141371.07067918646,Arizona
2002-06-30,139922.42075687653,137809.09030882726,141967.85503921163,Arizona
2002-07-31,140357.21215074984,138354.17529508608,142419.2138195523,Arizona
2002-08-31,141026.17640847943,138962.2023940977,143150.4150631614,Arizona
2002-09-30,141818.9021585661,139927.8248248017,143947.40240579934,Arizona
2002-10-31,142587.34329936767,140642.38944448225,144647.71134287489,Arizona
2002-11-30,143312.33874818688,141160.38774317523,145241.40485588645,Arizona
2002-12-31,144053.91456318286,141906.55984466284,145982.393327057,Arizona
2003-01-31,144987.0366767863,143081.90904001158,146942.57458544927,Arizona
2003-02-28,145766.1075716368,143735.2034347901,147803.72435346432,Arizona
2003-03-31,146699.3812403155,144639.55405645576,148718.17111319813,Arizona
2003-04-30,147579.6080729616,145546.7803410352,149539.92205268718,Arizona
2003-05-31,148561.99522507802,146469.8192992206,150579.70027478752,Arizona
2003-06-30,149371.47546635158,147371.64711400986,151491.3821989829,Arizona
2003-07-31,149874.3026050234,147993.02894331882,151990.49976391744,Arizona
2003-08-31,150641.88882195737,148728.93725161816,152519.3460472964,Arizona
2003-09-30,151525.29246525856,149482.0637170063,153567.07321997138,Arizona
2003-10-31,152308.0103408855,150033.02716038073,154411.78880993612,Arizona
2003-11-30,153025.4521411284,151110.27500639614,155118.4943333175,Arizona
2003-12-31,153899.920970608,151749.17542636045,155943.63439542733,Arizona
2004-01-31,154945.42695289297,152796.25637031742,156984.7614901486,Arizona
2004-02-29,156095.97325814678,154046.96435114797,158143.58762436398,Arizona
2004-03-31,156921.70622565242,154821.8707698408,158886.84815769715,Arizona
2004-04-30,157827.13771283487,155769.9426071018,159876.6582888017,Arizona
2004-05-31,158622.61029026198,156616.77615488367,160822.66670513092,Arizona
2004-06-30,159619.95588893926,157472.28873782395,161642.45137073644,Arizona
